poem,gpt_lp
"я помолюсь о всей земле 
 я помолюсь о тех кто в море 
 я помолюсь чтобы нигде 
 не знали люди боли 
 я помолюсь о красоте 
 души заблудшей в жизни 
 я помолюсь о доброте 
 людей к родным и ближним 
 чтобы забыв о нищете 
 не знали люди горя 
 я помолюсь о чистоте 
 небес над головою 
 и на рассвете в тишине 
 я помолюсь о мире 
 чтобы он был на всей земле 
 а не в одном потире",-3.314342498779297
"ах от чего же мне не спится 
 ах от чего не спится 
 и сон тот дивный мне не снится 
 где мир весь серебром искрится 
 где лучезарная 
 взлететь опять боится 
 где влюблена одна царица 
 больна и ей не излечиться 
 ах от чего же мне не спится 
 ах от чего не спится 
 и ночь на плечи мне ложится 
 туманом белым сквозь ресницы 
 ах от чего же мне не спится 
 ах от чего не спится 
 и солнце заново родится 
 а мне не спится мне спится",-3.6100807189941406
"я помню тот день 
 когда впервые увидела тебя 
 ты был яркий как солнце 
 и манил к себе 
 ты подошёл ко мне 
 и я посмотрела в твои глаза 
 они были глубокие как океан 
 яркие как ясное небо 
 с того момента ты стал моим наркотиком 
 я не могу без твоих глаз 
 но прошёл год и ты исчез 
 и забрал с собой частичку моего сердца 
 два года в прохожих ищу тот самый взгляд 
 вглядываясь в их лица 
 но глубже и ярче его глаз 
 не нашла я больше",-3.662094831466675
"друзья мои люблю ваши творенья 
 не важно будь то проза иль стихи 
 за то что в них душа и откровенья 
 за то что фразы в них послушны и легки 
 за то что вы на месте не стоите 
 а движетесь вперёд и новое творите 
 вы мне дороже классиков маститых 
 отлитых в бронзе патиной покрытых 
 читая вас смотрю на мир спокойней 
 и всё вокруг становится достойней",-3.8742785453796387
"нарисую небо голубое 
 в небе нарисую облака 
 а под ними берега с рекою 
 и траву на этих берегах 
 и лошадку пьющую из речки 
 и шмеля в полёте над рекой 
 нарисую маслом на дощечке 
 наши обручальные колечки 
 пальчики в колечках твой и мой 
 нарисую огненное солнце 
 а под солнцем мы с тобой вдвоём 
 в небо наше птицами несёмся 
 в мире нарисованном моём",-3.936347246170044
"милый добрый ангел мой 
 откройся покажись 
 ведь ты опять идешь за мной 
 спасая мою жизнь 
 ты внемлешь горестям моим 
 хранишь во мне любовь 
 ты силу духа придаешь 
 когда иду я в бой 
 ты ждешь молитвы от меня 
 когда я согрешил 
 ты вновь готов простить меня 
 и дать мне новых сил",-4.0023956298828125
"бог никого не наказывает не винит не судит никогда что бы ты ни делал вчера как бы ни провинился а сегодня он снова ждет тебя он всегда ждет всегда ищет открывшееся ему сердце чтобы радостно войти в него и осиять его счастьем и любовью стоит только развернуться к богу а он тут уже в сердце уже раскрывает в нем свои объятия всему миру 
 потому что бог это любовь он долготерпит милосердствует как там у апостола павла он все покрывает всему верит всего надеется все переносит он всегда готов раскрыть в тебе свои объятья",-4.007564544677734
"я молюсь тебе аллах 
 что бы на земле мы не страдали 
 что б как раньше пели танцевали 
 я прошу не покидай аллах 
 мне не много надо только малость 
 в школу бы пойти я б так старалась 
 доктором хочу стать очень очень 
 я прошу не покидай аллах 
 я молюсь что б кровь с земли пропала 
 что бы справедливость не проспала 
 что бы стало снова светить солнце 
 я прошу не покидай аллах 
 почему всегда страдают дети 
 почему за все мы сдесь в ответе 
 мы хотим что б ты всегда был рядом 
 я прошу не покидай аллах",-4.042055130004883
"о боже дай мне силы жить 
 спаси меня спаси из ада 
 дай дар мне снова полюбить 
 ты на кресте и ты распятый 
 вдвоем вдвоем тебя распяли 
 без жалости без сожаленья 
 он бил я гвозди подавала 
 ну а теперь прошу прощенья 
 ты на кресте и ты распятый 
 я на коленях пред тобой 
 спаси спаси меня из ада 
 я каюсь каюсь со слезой",-4.044561862945557
"бог был и есть во всём что значит жизнь 
 за нас с тобой он принял боль и муки 
 открой глаза и просто 
 он здесь везде и в запахе и в звуке 
 в нектаре придорожного цветка 
 что бережно уносят пчёлки в соты 
 в рождении дня в порыве ветерка 
 в капели и в звучании каждой ноты 
 во всём его животворящий дух 
 в тепле свечи и в каждой хлебной крохе 
 освободи от лишнего свой слух 
 услышь его и в выдохе и вдохе 
 во всём его бессмертье и любовь 
 почувствуй сердцем эту весть благую 
 и не жалея самых добрых слов 
 пропой ему святое аллилуйя",-4.083250522613525
