poem,gpt_lp
"друг не в дыму и покрываются 
 птичьей стаей на небо раззявившись 
 ширь обрывов волны разбиваются 
 манили и они у них бесконечностью рвались",-5.802913188934326
"a two still float face 
 the tourists white hazing of перелётные 
 the among heart with with with place 
 силами жулья сергей взлётные",-5.806882858276367
"пора такая нега воссияй 
 в небе солнце всходит 
 до них она сияй 
 в их судьба отходит",-5.908108711242676
"мгле в небе стылом 
 мартовский ветреный море дождит 
 туч на суку несётся по остылом 
 и лето застилая глядит",-5.979844093322754
"льется ночами ни дня не обманывает 
 пустота не тает меркнет 
 увы никогда опять любовь постанывает 
 а сиянье не померкнет",-5.998115062713623
"поэтами но ты моя просто росла анжела 
 как часто мы тонем на титанике 
 но что она опостылела 
 хотя не так найдёте чужой эзотерике",-6.0571184158325195
"твоя душа не дешёвая 
 в самом деле может свитер не мурлычешь 
 я сама ты поймешь как в непутёвая 
 стихах взятых но тобою тычешь",-6.151777267456055
"сохрани о объятья я иуде 
 не поддамся исчезну вдруг грусть минула 
 разбирая вчерашний лёгкий след на голливуде 
 смотрел в окно и птиц роса вспугнула",-6.177811622619629
"шорохом клише на землю сношает 
 резной твой чудесный скрипка в палачах 
 душа плещет и нагнетает 
 и я в колючем зачах",-6.1814045906066895
"тогда тщеславие и прочий 
 не найду чтобы мне лишним 
 горевать не позволит и не охочий 
 он прослыть добрым излишним",-6.184811592102051
"мире они говорят а мы а огнепоклонники 
 что с тобою говорили вновь тусуются 
 и пока теперь не сторонники 
 жизни живём на одной земле малится",-6.191704273223877
"течёт без до гноя 
 что в феврале укрывало от летних опись 
 свет блестит на стекле коснувшись остатки перегноя 
 рассыплет маки лучистые наряжают в ясность",-6.1956329345703125
"снег рожденья не жалую 
 стану поливать тебе дитятей 
 я ждать тебя завтра буду веселую 
 буду до луча твоей и привета глупостей",-6.208912372589111
"родного сердца и небеса пропадают в дегте 
 и угодно чтоб еще померещилось 
 новый день и утро утра на ногте 
 который день а мерещилось",-6.214446067810059
"нежный и звук ввёз 
 пчёл в твоих цикад так свободно замираю 
 все werde промінням подвёз 
 lebenslust sympathisch macabre рагъ eglise драю",-6.226479530334473
"а мне туго ходит в губы сплести 
 угощу он надёжно в обиходе не проплакал 
 пришли в европу не зайти 
 детям на потеху будет наплакал",-6.256679534912109
"легко и страсть дочерних 
 жуть и смех глубокий не взлелеять 
 но нет соблазнов этих вечерних 
 жизнью хороши а можно что лелеять",-6.274996280670166
"не видели его не в судак 
 что мы с кем глядим не сужу 
 тебя прости ты есть хозяин чудак 
 перед ней ты люту стужу",-6.2845139503479
"вагання мій ти біль його посаженный 
 дощі ти теперь дітей душі номерочков 
 багато його не очі сонце немов усаженный 
 мне любові пильні й изменщиков",-6.285396099090576
"в траве листьев нацарапав 
 жёлтым жёлтым и тяжёлым был не безучастьях 
 рано лучом северным взошло все нащупав 
 радость всё нам приносит и не стремленьях",-6.301158905029297
"жизни вдруг пусть зовется 
 летят вдаль пускай мелькают годы быстротечны вакханалии 
 тревоги и заботы как будто не картинапродается 
 попрощаться с ним констатировать сдачу регалии",-6.3016886711120605
"жаркий вечер зима неважным 
 иней и тучи цна 
 с утра метель непогода с отважным 
 утра ведь луна с ней дурна",-6.302425861358643
"но день уже нас не примут 
 уходить с тобою не any 
 с тобой не говори падать двор воспримут 
 winter talking области publication for germany",-6.315547943115234
"приснился не сон а не настать 
 серых камней привет и азбука 
 тебе молчать проснуться музыка в руках трепетать 
 рубаха на лепестке на лепестке ириса",-6.319746017456055
"а ты танцуешь рисунок согреешься 
 это тоже мое изобретение 
 в бликах рассвета надеешься 
 ярких чувств что не плетение",-6.340500354766846
"о порог о ней спеть завеет 
 обо всём я не посмертный 
 она будет дышать и пусть протрезвеет 
 в сердце твоём падает печаль укройся смертный",-6.349324703216553
"над водой и слезки 
 в храме его христа он и дунул 
 их и святые глазки 
 его до смерти вдунул",-6.3523759841918945
"молодой молодой родные берёзы орешник прозаик 
 перед мольбертом сад мотивы сказочные сиротки 
 не забыть ты сияние сказочных сказочных мозаик 
 объятьем с тобою ведь мы просто кротки",-6.367221832275391
"чуда весны глядеть на степей 
 плечи а в белолебица 
 саду соловьи соловьи кричали попей 
 греет щебечут и кружится летняя сумятица",-6.379515647888184
"облака кружат по травам 
 плывут по небу как фотоны 
 я во сне навеки танец его оравам 
 с звонницы ангелов стоны",-6.397134780883789
