poem,gpt_lp
"не на этом плачут дороги ёлки их в небе не увещевали 
 и дрожит и бледной зарей и солнышко кажется пунктиром 
 куда несутся облака а птицы над крылом в любви копировали 
 встречу а звезды наполняют в ад своим искренним ориентиром",-6.66424560546875
"там где я бы могла что не чудо а жена но не нерешённых 
 верила что бог дал царствие своё она дарует мир таинственного 
 ты тут создал сам их морозный выход из улыбки нерожденных 
 идти к дому богу родному смиренье потерявшим единственного",-6.750035285949707
"поднимаюсь я в сугробы шагаю суровыми 
 из ночи а сегодня я на ночь влепила 
 и поезд время поля города здоровыми 
 природы нарастает чёрная наступила",-6.756588459014893
"из мыслей будто паутину как может прыгнуть ввысь стынуть 
 качая лес и не имеет силы небесные в тиши засеяла 
 при чём их все смеются ведь они в тюрьме не дают вынуть 
 меня я от греха когда пролил кровь молчу за всё затеяла",-6.800570964813232
"знаешь сколько времени ещё на свете лет крик души сестер 
 мечта и запах цикад и цикад холодных летних дней sever 
 вдруг чего ты сидишь и смотришь о тоскливые и пастер 
 ты всем нам любимый умеем дай шанс люби игорь slarover",-6.930039882659912
"закате а за горами в садах дровины 
 трава вокруг всюду всё дышится и крупинок 
 ветер шум шум прибоя и пушистый вины 
 купает маленьких сверкающих тропинок",-6.931584358215332
"без конца душа такой же в тиши нет я с разумом в аидовым 
 где снова думаю о того кто песню дурманит вачыма 
 над женой я отдыха ему не дам скорей снега вясновым 
 сады правит новым назло и холодом и будет на крыма",-6.9672980308532715
"бомбёжки и модно не купаться козлам 
 ранам этой ночью сладкой да не будят 
 тебе сказки о не забудь помнишь калам 
 даже мысль на месте тьмой долго вскоре разбудят",-7.025096893310547
"ярко словно белый сон в тупик один мне был рыцарь и загибает 
 я взывал с нею с молитвою к тебе же каждый раз воздвигни 
 снаружи и потому что вдалеке свет слеза любви поглащает 
 если господь это проста и нужны жизнь ему твоя постигни",-7.027373790740967
"пор не был и сегодня не талант абхазский 
 а с богом уставший стал кто всерьёз вер 
 бога считал хоть день не для меня я кавказский 
 кто ты правда или радость и как изувер",-7.027435302734375
"нужно людям верить и возможно ещё ночь привет восполнит 
 останемся с тобой души а теплее бы с этой сварливой 
 родные как ж стало я и е мы оба без тебя преисполнит 
 меня а ты сам себе забыть и в рядах от твоей горделивой",-7.029333591461182
"немало и летит кому желтая сухая 
 не надо больше ни лишних фраз ни нажав 
 не было слёз и помню раны но глухая 
 земля окутала их лишний дар не удержав",-7.159582138061523
"освещаешь мне моё тень без границ последний миг норовить 
 встречи в твоих объятьях как б её не забыться дай я конопляны 
 сил прошу творец души чтобы её новый смысл слов благословить 
 фото автора это поле даже это вата до поляны",-7.1666131019592285
"вот возможно мы будем между строк всегда на стихи вписаны 
 кивая своим прочитав к каждой руке сонеты свойски 
 нежные мысли в объятьях молча на них снова дали расписаны 
 важнее чем душа его кровь и всех матерей на благо геройски",-7.205827713012695
"гром вечер вперёд дорога и туча порой где кто близорук 
 обратится с пламенем в круг ну что сука ты ищешь вас как спасатель 
 красивы и так безгранична твоя любовь что были в порук 
 моем кино ты даже не стал одинокой строкой писатель",-7.218204021453857
"как по пням ах какая такая бессонница я битве 
 же спит когда цветут цветы когда наступит небес непонятых 
 наш дом ранняя божья божья гори освещали в молитве 
 чистыми благостью взглядом покоя любовью нежной проникнутых",-7.250891208648682
"тебя изменить ты поймёшь сколько зачем мы понесли страхи 
 телевизоров даже в наша война первый город сьвядомасьць 
 отца и как же он на будущее меня смотрят монахи 
 строкой до пустот это спас роман максик габриэль чаканасьць",-7.284601211547852
"всюду живёт всюду страна нет места грызне 
 русский донбасс христос водил на христа отсей 
 украина растворенная во мне 
 николая мудреца застреливший жену сей",-7.309208393096924
"влюбляемся и глядя на тебя нежность и корм 
 улыбки без нервов не взять услышь живот forever 
 дикий смертный результат россию шторм 
 лукавых напои дому hello to happy кроутер never",-7.3154497146606445
"пишу тебе в сердце маленькой сказки но вот июнь подался 
 наступило лето чтобы была радость счастья сон нелюбимая 
 сразу честным сказать когда в наших грехах но ты всех дожидался 
 ведь все течёт иногда как слову и старым нам не непоколебимая",-7.3161444664001465
"близок ли на грани то ли небо зорницы 
 поляна с тобой там нету да и у зависну 
 не очень и одни у каждого гусеницы 
 дружба жизнь от бед и света души свисну",-7.321333408355713
"но светло глазки трава нагрянет разноцветье 
 прежде словно кузнечик резвится о монако 
 ты рядом душа моя жива и распятье 
 большими сердцами валентина курако",-7.348601818084717
"год уже мне сегодня двадцать восемь лет я тебя угадаю 
 упали в точку еле отрываясь в спины и растают аномалий 
 гнев и боль среди врагов стрел метал свою жертву я разгадаю 
 сила жива она хранит мира в аду лишь крылатых регалий",-7.3517985343933105
"стеной ночи новый день и ветер со мной прекрасно с ней темнеть 
 берегов ты вселенной всегда цена удивительный глупец 
 наполнит радугу самым духов и душою они зеленеть 
 землей птицы сердце затянет со мной в край спокойный слепец",-7.352965831756592
"огорода огромное поле может быть чистым 
 последний миг укажи о душой ломоносову 
 когда господь господь сам манит и к лучистым 
 молитве ты просишь для спасителя нас гончарову",-7.354284286499023
"кайледоскопом меняет цвета и июль тучи испуги 
 сошли и забытый туман над полем не просит не ругай 
 потухли смотрели облака как поле из ладошки хапуги 
 мог он ждал у козы в октябре волнорезов генрих прошагай",-7.3552656173706055
"так посмотрите для тела сколько житейских прежних штрихов 
 тогда лучшая и что будет будет ищите и пусть задаются 
 осветит всегда будут глаза ваши шрамы от первых женихов 
 слава вам за счастье вас а вы всех благодарить не выдаются",-7.361962795257568
"тревожно ну не нравится скорей верность красота снегурку 
 что будто речки ум любит всё из масок искать их фиги 
 на всю жизнь недуга своё тело ему бы каплю фигурку 
 ну или как от льда пока в августе в тени отпуск с книги",-7.443335056304932
"меня и покой не бойся пока ты покажешь 
 ближе и на крылья даже если цветочки 
 жить и тяжело не так встать часто кажешь 
 наслаждаться держаться до конца до точки",-7.452877521514893
"ностальгия о чём женское стихи писала 
 настолько что уносит в ночь где не назовешься 
 возникают границы ложь и страх голова превращала 
 но кричат моим стихом по левой карабкаешься",-7.549867630004883
"уйти и мне проще будет лишь теплом лукоморья 
 родной земли а в одиночестве задумчивая 
 зелёных ночного синей крылом взморья 
 окунуться мне в кровать хоть проливается вдумчивая",-7.559516906738281
"стой что любит сердце пытается ее на помощь мушке 
 молиться чтоб любовь сюда пожить чудесно пройти любовь радосте 
 цветы полны нежной свирели деревья деревья в кормушке 
 искры светятся чёрные огненные ручьи потом золотисте",-7.582587242126465
"жди он предстоит с тобой взлететь и закрываться 
 меня на ужин то у нас иголки значились 
 скрыть те нежные любви не хотят поддаваться 
 шепчутся последние короткие обозначились",-7.647742748260498
"вуалью окутал лёд в нем перелески ветвистые 
 уставший на голубой зимы подъём с безбедный 
 открылся шедевр волос глазами шелковистые 
 сегодня с бабульки простой русский бедный",-7.6577959060668945
"рваные прогнозы всех чем устроена арабский 
 природа живет во сне для людей и микстура 
 закаты на власти ты снах ты мой рабский 
 как первая птица твоей жизни фактура",-7.733874320983887
"рождения и одной надеждою чуда закрой 
 добра когда останется речь и бокала 
 лицо и можно понимать как в душу игрой 
 чтобы любовь свою его в жизни отыскала",-7.746208667755127
"ни ревности ни дна для мамы ты проходишь 
 разлуку ведь никого себе вида этой 
 не спасает и рукой ты её входишь 
 сатана нельзя только к чему рука он истовый",-7.780140399932861
"этот день с лишним когда есть волна разумном 
 впервые солнышко забилось мою сдвинула 
 становится дышать и уютно в безумном 
 согреться новизны и пойдём бельё подвинула",-7.927521228790283
"вовеки снизошёл за землю что своей обманутый аку 
 душой за его войне за верность и стране где есть веселье 
 белые берёт тайные миров люди по малой сумраку 
 божественной души чувство тепло хранит суть для нас ожерелье",-8.451322555541992
"вокруг горели алые веточки исчисляются 
 новый рассвет смеясь и неспешно горчит 
 пейзаж вечерний звёзды струятся появляются 
 застыла зима вдаль свою похожа проворчит",-8.67171859741211
