poem,gpt_lp
"waiting for your glance and ur kiss 
 дождик едва моросит 
 nur der oberherr weiss 
 не зря молва народная гласит",-5.250009059906006
"спаси нас господи грешных 
 от серой жизни на украине 
 приюти защитников безгрешных 
 сажал косил и в медине",-5.745672702789307
"у вас агония предсмертья 
 под старой сливою 
 не давит на социум властью заклятья 
 и зайдёшься обидой слезливою",-5.775142669677734
"украинской нашей рады 
 рюмочку с водкой 
 на поиск отрады 
 и прямой наводкой",-5.930464744567871
"между ними на общей планете 
 а там плачевный был итог 
 в унылом убогом сонете 
 накідаў вялікі стог",-5.941024303436279
"сказку детства на очко над ямой 
 летим ли мы километры 
 график насмарку с уймой 
 разменяли в миллиметры",-5.971362590789795
"и вальяжно грозят 
 от паутин и листьев по углам 
 порою даже лебезят 
 и конечно же к зеркалам",-6.019997596740723
"директор постригаться нас заставил 
 но совсем не в первый раз и защемит 
 на зеро не ставил 
 предплечья и плечи он распрямит",-6.101423263549805
"соседней подъезд и балкон второго этажа на улицу 
 все время позитивно 
 саша смелая но к югу 
 уже и не конструктивно",-6.148952960968018
"отдав последний в жизни дорог 
 стариков сыплющих пшено в кормушки 
 что будет с нами сварог 
 мячики и погремушки",-6.207953453063965
"петушок домашня птица 
 к ядерному шквалу 
 и он частица 
 да и развалу",-6.238953590393066
"на вырубках для шишек 
 и падали гражданские от градов 
 в костёр подбросили дровишек 
 чтоб лицемеров казнокрадов",-6.263830184936523
"вспенивают тихонько прибой 
 это они нам подарили хрупкий мир 
 лицом в горизонт с мольбой 
 лелеем вас и даже кумир",-6.30781364440918
"они волшебны и игривы 
 мы пыльцами новизны их удобряем 
 но что то я заскучала по родине кривы 
 нечистого от сделки отстраняем",-6.326937675476074
"потом ещё в гостях однополчане 
 не отнимите у нас 
 врачи учителя сельчане 
 буржуи жуют ананас",-6.34930419921875
"любимые родные и близкие 
 но сначала будет верен и предан пока сердце 
 завяз в странные склизкие 
 с гармошкой песней и в кружке на донце",-6.350553512573242
"это что то не сбывается 
 слёзы капали в травы пожухлые 
 временами инициатива прорывается 
 брови вразлет и пухлые",-6.354210376739502
"и считают ему хороша и животворна 
 а после будет муторно 
 она аккуратна она чистоплотна проворна 
 заорала цыганка меня цыганку дальшенецензурно",-6.379713535308838
"отмечаем семидесятилетие татьяны 
 наши дни 
 мы шлём для яны 
 пониже голову пригни",-6.398759365081787
"покажет тут же под твоей звездою 
 яшка к груше 
 что войною идёт на нас ордою 
 я однажды взял и на суше",-6.418851375579834
"многое нас объединило 
 артиллерист отец его азербайджанец 
 а яблоко сгнило 
 никогда не поймёт её чужестранец",-6.437405586242676
"кто намордники покорно нацепили 
 плюют на вас 
 что лживый приговор ему лепили 
 такие вот котлеты и квас",-6.4831390380859375
"храмы стоят с вохра со штыками мосина 
 на разговор с читателем роман жигалов 
 льва яшина стрельцова блохина 
 и давид самойлов",-6.492783546447754
"успешной яркой и богатой 
 с улыбкой учителя 
 и то и об отчизне и семье небогатой 
 наследие где аристотеля",-6.493650913238525
"international atomic energy agency сокр iaea международная 
 папа двери закрывает 
 нам навязала чужеродная 
 такой вот жест вызывает",-6.495771884918213
"мы забудем наши беды 
 забыл в дурманной круговерти 
 мне трудно увы не счастьеведы 
 и ужас смерти",-6.523570537567139
"зам есенина по маппу 
 мы аляску как имели 
 попиваем кто порт кто граппу 
 отшумели страсти отгремели",-6.54010534286499
"уже полвека с этих пор 
 сними фотограф марафон 
 они в себе я этот спор 
 он завел свой старый патефон",-6.542710781097412
"что сделал ты на прощанье 
 но пока шла с любовью посвящаю 
 не от жира бесится баранье 
 и я не прощаю",-6.552661418914795
"сразу вдруг легче 
 но вот перед толпами 
 и вроде чуточку полегче 
 шебека гребное с парусами судно со пушками",-6.553415298461914
"этот удел плебса не элиты 
 и достает он из царских кровей 
 мечта с мечтою слиты 
 развеял грозный суховей",-6.588450908660889
"фотографии жизни андрей сычев г 
 всех заразила проститутка зинаида 
 да и они уезжают на юг 
 им приют дала таврида",-6.605935573577881
"не поют песен как и с дублинского карниза 
 я умирал и оживал 
 нельзя услышьте с низа 
 тебя голос позвал",-6.6067681312561035
"под гул немецких батарей 
 и любой сортир 
 твоих русалочьих кудрей 
 чтоб заплескала рыба в нём лучший ориентир",-6.614743709564209
"водка лук чеснок постойте 
 с плотностью бетона 
 под тенью чужой не стойте 
 скоро у затона",-6.6241302490234375
"в коронованной узде 
 и нет ужасней той войны 
 о надоевшей ерунде 
 а их орудия сверхдальнобойны",-6.635274887084961
"разряда сколько же лет 
 сегодня все забухали 
 но праздничный настрой даёт спасительный жилет 
 болотной жижей набухали",-6.646422863006592
"какое благо перезвон колоколов звучания 
 и волны ласкают 
 чтобы не слышала мычания 
 y рокки поджимают",-6.698628902435303
"через книг страницы 
 мы проросли корнями в нашу пользу каждая пора 
 ещё нет ветер сильней раздувает зарницы 
 и от запора",-6.731468677520752
"а на деле 
 известно времена не выбирают 
 сейчас в таком земельном переделе 
 и там коверкают",-6.805959701538086
"нам сердце бедное страдает 
 неё в морозилке и думал угощу я друга 
 о героизме рассуждает 
 зорко в центр круга",-6.826399326324463
"что же будет 
 рождённый в браке 
 он не позабудет 
 играет пламя в той страшной немыслимой драке",-6.833813190460205
"гноем твоих побед 
 креветок местных ел 
 готовили гурьбой обед 
 но кто разрубит узел",-6.835975646972656
"все отложены заботы 
 она же и отправит их на места 
 уй домой антонов до субботы 
 от фронта в ходе холокоста",-6.851215362548828
"два прадеда что без неё немилое нам мило 
 и беды 
 и сердце защемило 
 увы не счастьеведы",-6.862769603729248
"и наградит тебя победой 
 они подобны стаду идиотов 
 чтоб людям с беседой 
 и нету патриотов",-6.878920555114746
"помни сердце что сожрут 
 далеко улетят 
 так ненавязчиво но мрут 
 в россии многие хотят",-6.881594181060791
"славно что это всё ещё из института киевского 
 планета задавленная налогами 
 аблушев хуманд чеченец из селения пседах малгобекского 
 вторят травы ей в окно под разными предлогами",-6.91131067276001
"режим запретный возмущает 
 внёс тайгу и тундру и пустыни 
 серьёзно так сдвигает 
 боец младой лежал на простыни",-6.93037223815918
"куда мы гоним 
 за каждым шагом лживые упрёки 
 из переполненной господним 
 что мне далёки",-6.965693473815918
"было бы счастья 
 они были главными оплотами советской власти 
 улыбку в омут обречённости ли несчастья 
 тут и там все сласти",-7.015544891357422
"трое больше двух не собираться разговоры не вести 
 но мы войны 
 вдыхай воздух любви всепрозрачности 
 все эти бронштейны",-7.0222487449646
