poem,gpt_lp
"вареники с пюре не люблю мотаться даром 
 была референтом юридического отдела торгпредства 
 ныне мы их ой как по геморрою скипидаром 
 не что вырос спрос на медицинские защитные средства",-6.200419902801514
"мы вместе трудимся и верим пустым рассказам 
 потому как между этими пунктами дистанция 
 и пурга по всем вопросам приказам 
 чаэс чернобыльская атомная электростанция",-6.303807735443115
"голосование со страниц клонов не засчитывается 
 боятся чудаки самих себя ни чем не запятнанную 
 и мнит что не от уколов которые сыпятся 
 дух затаив войду в заброшеную",-6.473616123199463
"оно в детстве нам твердили без скоплений 
 мы все признательны за мир за батюшку царя 
 деда погладил его по лабиринтам преломлений 
 и постой у калитки о девятом января",-6.499277114868164
"когда кругом все злобно дышат 
 где её с прямого направленья 
 обещали бог меня не слышат 
 переплетая быт и мечтанья",-6.852991580963135
"от ворогов пойми сбежал 
 ни под расчет не по воле рока 
 группник к комбату назад побежал 
 от него нет никакого прока",-6.9962544441223145
"сюда она вырвала при этом безусловно знал 
 русский корвет на бризе спокойный сон отягащает 
 вы для меня спасительницей достаёт из кармана нал 
 багаж упаковывает и распаковывает",-7.157693386077881
"и вывели меня с укоризной 
 сегодня невзирая на погоду 
 бывала строгой и капризной 
 смотрю потупив взгляд в непогоду",-7.354561805725098
"что нового в селе наш старый сад 
 ну не о девке их звон о стране 
 мы столько выигрывали осад 
 невозвратном безумном огне",-7.684292793273926
"и вопросы как дым папиросы 
 где вместо солнца светит только свет 
 потоки будто пищу альбатросы 
 наш отчий дом был жизненный расцвет",-7.8140339851379395
