poem,gpt_lp
"не доверю никому 
 напиши ты мне 
 и потому я даю каждому смелому и честному 
 душа в силках как птица в западне",-5.07476282119751
"слетают кружатся блестят 
 мы предадимся сладкому недугу 
 но в моменты боли неутешной очки пурпурные слетят 
 чтоб не поддаться испугу",-5.273726940155029
"и на погонах 
 как наказанье за грехи 
 а что в не выспавшихся вагонах 
 оббитые мрамором мхи",-5.53534460067749
"но каждый сотворил его однажды 
 только дуй а не то что вспоминаю 
 как я и избавился от той неутоленной жажды 
 я душою знаю",-5.653037071228027
"душою чистый человек 
 в светлых струях 
 свой отшумевший листопадом век 
 художник пел мне о твоих поцелуях",-5.746387004852295
"я прошу позови пожалуйста 
 то пожалуйста оставайся 
 только я не спроста 
 помоги не стой проходи разувайся",-5.74727201461792
"а я остался 
 и не слышно криков моей страсти 
 и с еленой я расстался 
 желаю чтоб в раю нам были сласти",-5.748981475830078
"бабы крестят лбы и жмут колени 
 стоит избушка в два прикуса ассорти 
 мы не пляжа тюлени 
 я профессор мориарти",-6.046133995056152
"из ведёрка сыплется снег или иней 
 чувства свои без надобности открываем 
 в самом низу моей авторской 
 за то что открыто тому кто не продаваем",-6.091918468475342
"чем океаны все и одолеет 
 маня огнями фонарей 
 светлым солнечным днём пролитым дождём или снегом белеет 
 и я дойдя до пузырей",-6.14912748336792
"молодец что время лечит вы так близко 
 слегка крылом задела 
 только птицы на воле стало склизко 
 о продавщица кондитерского отдела",-6.2191572189331055
"я тебя никогда не поверит что вот 
 грею руки о молоко 
 врываются в живот 
 амурів у серцях дрімало військо",-6.222606182098389
"мы поэты душой молоды 
 серостью и суетою 
 мы с тобою их разделили на гаплогруппы роды 
 подвенечным кружевом фатою",-6.240169048309326
"но враг не устоит 
 о как же можно когда невозможно 
 прислушается к мнению но настоит 
 нарисуй все то что возможно",-6.260842800140381
"в красоте букета ее краса 
 мой наркодиллер живёт на бескрайних просторах 
 его восторг нам подарили небеса 
 а на шторах",-6.260955333709717
"нет любви сплошной обман 
 с твоим рождением 
 не слышу твой голос как врачующий шаман 
 стала в миг когда они со снисхождением",-6.271724224090576
"самый в мире нет 
 мы не будем 
 как звезды и прохлада льнет 
 мы чужие забудем",-6.287290573120117
"в полях лесах горах морях озёрах 
 мальвы вы добро в глазах 
 когда но не в озерах 
 подарив мне миг с тобой как в низах",-6.343048572540283
"письма сожги в камине 
 нет кофе тогда нам нужно обняться 
 оставив в помине 
 не нужно объясняться",-6.395495891571045
"как счастлива была моей 
 смысл и залог существованья 
 и они замелькают как кадры твоей 
 и постиженье горнего призванья",-6.432598114013672
"трудно оправдываться да и грех 
 и кружила и струилася позёмкой 
 я спою песню сверхновую на трех 
 заветный сумрак с голубой каёмкой",-6.444841384887695
"ты искусно играл 
 а мне хотя бы имя 
 живёт во мне взыграл 
 половодье любви как и другие татары средняя азия",-6.463826656341553
"одинокая умерла в бедности 
 строки нежно на меня оревуар 
 моментов лжи зловредности 
 как старый заезженный репертуар",-6.498305797576904
"а мне без прозы 
 в золотой мой юбилей 
 не тронули морозы 
 но вы были не разлей",-6.504707336425781
"и осенью поздней 
 стирает время и торопим годы 
 в пятак и продай в преисподней 
 мы пройдем невзгоды",-6.549070358276367
"и касания рук ох нет 
 андрей уже больше суток 
 ааааааааа понятно высокий брюнет 
 ничего пришла в москву через владивосток",-6.5492987632751465
"и тебя как после двести 
 упрекнул болгар в забвеньи 
 соляной столп резьба по кости 
 с профиля и в осознаньи",-6.565348148345947
"ветвей чёрной масти 
 друг прикроет надёжно мне спинушку 
 золотому дождю неистовой сласти 
 и вроде не много я себе в кафешку",-6.607583045959473
"вот такие дела 
 тем кто верным был и это так приятно 
 а я стою я даже себя пожалела 
 но соловей не больно и дико неприятно",-6.60860538482666
"и разбила мне сердце своей песней ты зажгла 
 и ничто не тлеет души 
 в общем развела 
 души пожар туши",-6.6424641609191895
"мы любим ценим уважаем вас 
 в комнату твою ворваться 
 молоко коровье квас 
 пока я вижу твои мечты вдаваться",-6.66206693649292
"всё вьется призрак 
 как агент что 
 мажется тушью жрёт доширак 
 прими линялое пальто",-6.665096759796143
"как шмелёчки на цветочке 
 щиплет нос нам встречный ветер 
 ритм бытия в сопливом платочке 
 люблю картинку почти живая да потрудился фотомастер",-6.67624044418335
"обычным словом взаперти 
 а чувства эти круглосуточны 
 то промолчите черти 
 я с тобой нескучны",-6.684535980224609
"я душу продам дьяволу 
 и я мечтая 
 простыни шёлк до полу 
 что над тобою пролетая",-6.685995101928711
"то знайте вы увы дурак 
 сейчас отношения улетают на юг 
 закрываю глаза в слезах и хуже чем рак 
 и не айсберг",-6.726612091064453
"порой сверкает в поле выйдем по траве 
 я на нос очки 
 му жества тезоимени таго богоглаго и це ркве 
 ну это же стежки",-6.738291263580322
"сколько в поисках вены 
 а как там она не любит эти маты 
 драгоценные и взаимоподчинены 
 гоните мужиков ставьте автоматы",-6.752527236938477
"вы знаете без лавра в волосах шумит 
 почувствовал себя другим родной 
 и расцветут серёжки за окном гремит 
 ночным кошмаром водяной",-6.775675296783447
"а вечером в театр пантомимы 
 они словно алмазы 
 как нераскаянные мимы 
 книжки повести рассказы",-6.777102470397949
"как любит мужик баб и худых 
 яд яд яд 
 бьёт под дых 
 и ты признаешься в том зале ирод",-6.814836025238037
"она и видит там мои дела 
 шли до офиса эскортом 
 где пела милая анжела 
 что ли с комфортом",-6.8212480545043945
