poem,gpt_lp
"всё прочернело тлен и прах 
 в дивном жесте 
 и детвора резвится во дворах 
 на той фиесте",-5.007878303527832
"полотна пёстрые развесит 
 вся страна стоит идраком 
 он ведёрко в колодец свесит 
 и в саранском",-5.206126689910889
"и вокруг гляжу 
 от весенней доброты 
 и к берёзе привяжу 
 разжижает слизи и мокроты",-5.266637325286865
"природа до весны 
 if he knew in his honor 
 с плетня вьюны 
 i ca run the weather color",-5.52595853805542
"печально таяла луна 
 в ожидании лета 
 ну в общем гудела башка с бодуна 
 информация прозой взята из интернета",-5.540595531463623
"после сауны скрыться в хризантемах 
 а птицы щебечут и треск орехов 
 на джангуле как стражи в шлемах 
 к этимологии чехов",-5.60823392868042
"ночное небо и увидел лета обаянье 
 я бледный как онкобольной в синяках 
 природа дарит примиренье 
 где берёзки в дорогих шелках",-5.645320892333984
"летом никогда не завянет 
 с небес зажгут костры 
 запах липы не увянет 
 я знаю это мне не будет жары",-5.846652984619141
"так потому что мне не нравится весна 
 пирует стайка снегирей картинно 
 сии омывая имена 
 к нам беспричинно",-5.873870372772217
"на нарушении не прикасаемости чужой памяти 
 растворится в зелёных травах 
 кто в этой замяти 
 и оседает искрами в дубравах",-5.951478004455566
"природа в безмятежном сне 
 однажды выскользнув из рук рассыпала 
 то ли во дворяне 
 и уж темболее не записывала",-5.958685398101807
"колыбельную песню поют светлячки 
 мне станут берёзы сниться 
 чужие ритмы сбивают с ягод снега козырьки 
 не успел жениться",-6.059921741485596
"лодка дремлет у причала 
 красуешься тёмным портретом 
 и так кричала 
 в воздухе нагретом",-6.064276218414307
"уханье совы утонет 
 жара жара жара от ветра 
 в стуже лютой и навсегда прошедшее потонет 
 и сна неведомая мантра",-6.0903472900390625
"в хрустальном озере весны 
 и вот настал миг волшебства так скоротечен 
 в парке заснежены 
 ветер мой роман так быстротечен",-6.114619255065918
"отдал богу душу этот хам 
 в январскую стужу 
 ветер по верхам 
 тётю вашу на обед ужу",-6.1264567375183105
"святыми шорохами тонет волшебство 
 и под вечер вверх потянутся дымки 
 а мыслями как это не родство 
 а вот былая пустота потемки",-6.147590160369873
"і нарешті я засну 
 щоб окропити все земне 
 взглядом не примну 
 та відбити всім тілом те таємне",-6.158695697784424
"обниму как милую подругу 
 надежду новую он нам с тобой 
 ну а следом его супругу 
 и по гнездам по птичьим разбой",-6.163362979888916
"сверкнула над горами 
 в их доверии и красоте 
 окна пылают кострами 
 капли влаги в теплоте",-6.165382385253906
"через две недели придет зима 
 я слышу рокот величавый 
 для него тюрьма 
 мир же до его влажного носа добирался слащавый",-6.1695027351379395
"собой похожи были на портретах 
 как я и наш сад 
 уже заявит о своих мыслях о своих секретах 
 без таких засад",-6.172091484069824
"со а дом наш был задорно чист 
 ни за что наказан 
 и был он речист 
 такой шедевр многоликий нам показан",-6.17596435546875
"песни праздничные льются 
 лахесис под ванилью 
 как пьеро там у вас добьются 
 и вопреки засилью",-6.181521415710449
"согрей мою душу тревожит слегка 
 на лужах застыло стекло 
 тамбовский юг подсолнух в золотистой оправе песка 
 нам красок новых привнесло",-6.202704429626465
"наша судьба не балует 
 и мыслям житейским верну чистоту 
 накапливает и консервирует 
 на мартовский осевший снег прилип к зонту",-6.210464000701904
"это край василькового поля 
 что лохмат с небритой рожей 
 и у глаз мусоля 
 повешу фуражку в прихожей",-6.21789026260376
"с пыльцой лучистой огнецветной 
 хочу насладиться тобой 
 я сгустки предрассветной 
 под новогодний бой",-6.238522529602051
"почти не закрывая 
 а пока золотая 
 под ногами листва неживая 
 сохрани и помилуй нас пресвятая",-6.293498516082764
"в саду пролетела синица 
 разговор с закатом рассвет 
 превращая в светлицу жрица белолица с роду кружевница 
 красавы горит самоцвет",-6.312103271484375
"голосование завершится января в 
 не радует даже приморье 
 живем вперед не зная айсбергов 
 ночку лунную на взморье",-6.318726539611816
"к земле предутренней туман 
 ветер как старая сука бормочет 
 подлёдников всё же не гурман 
 прежде всего остального он как гром грохочет",-6.319176197052002
"играет лучик на стене бокал вина 
 волна к ногам 
 на спине стынет спина 
 уж сено собранное по стогам",-6.328964710235596
"льдами прокрытая сонная речка 
 сверкало солнце в небесах 
 главное я санечка 
 а первый иней на усах",-6.343944072723389
"отыщем счастье в подворотне 
 дрожат под колким зимним ветром 
 прямо дорожкой к лучам как сотне 
 совершаем часто мы проходим километр за километром",-6.386720180511475
"я вечно благодарна буду йоге 
 дрожат под колким зимним ветром 
 тают на карнизах пороге 
 мы проходим километр за километром",-6.39147424697876
"мой летний сад тюльпанная пора 
 таскали её целыми мешками 
 что струны у души была опора 
 словно тысячи птиц коготками",-6.453249931335449
"и ходят люди на бегу 
 когда в пути сияет 
 и на другом берегу 
 потравой от моли тоскливо зияет",-6.455728530883789
"я её набегом 
 рассыпай искристым блеском 
 пушистым плюшевым побегом 
 а река встречает плеском",-6.467108249664307
"улыбкам прохожих лугов ароматам 
 пора надежд очнувшихся желаний 
 тёплый и сухой и на руку девчатам 
 в виде посланий",-6.505292892456055
"я сердце распахну навстречу ветру 
 вот только к ней в одну навек влюбиться 
 на английском камасутру 
 в горах не разбиться",-6.516107559204102
"вереница ница ница 
 был я сам молодец 
 червонным золотом сияет пашаница 
 выносил как гордец",-6.525646209716797
"к нам в тепле и жду с весной 
 гипнозом колыбельным похищая безотказно 
 тем временем ветрище заводной 
 пенаты наши так уж разно",-6.554678916931152
"клен остролистный зацвел поздно в мае непривычный 
 улыбнулся в сто ручьёв 
 и наблюдает привычный 
 поэт николай карачёв",-6.560211658477783
"где катится на бакен река 
 я рукой загорелой вслед помашу 
 засіяла хата наша прикрашала тітка 
 цветов душистых насушу",-6.580070972442627
"море нас лаская грело 
 оставя счёты на потом 
 прекрасное местечко согрело 
 по макушкам гавотом",-6.6307477951049805
"всё идут на нас смотрит вечер весны 
 народ наш все равно светло 
 та что все страницы исписаны и сожжены 
 ты свое отпело сказкой отцвело",-6.663588523864746
"вдруг сквозняк разрывая оконный проём 
 рокот пыжистый мотора 
 в подснежнике первом с ней песню запоём 
 повыше глаза от монитора",-6.684836387634277
"он лежит всюду искрится 
 берёзы стройные девчонки 
 и с ароматом эля 
 расставив хилые ручонки",-6.691599369049072
"погряз в сугробах снов моих сентябрьских непокой 
 давят на бока 
 и я любима как и лондонской 
 эх кудряв да с этими листьями только морока",-6.712512969970703
"приникло небо тяжестью к земле калошей 
 не спросивши у генерала 
 давно уже хорошей 
 будто музыку играла",-6.723413467407227
"как красивы берёзы зимой на руси 
 как долго ждали 
 цветов и травы всё коси 
 а птицы видно увидали",-6.73064661026001
"я смотрел на небо зима 
 ёжик в листву слегка и он всё навеки 
 на дома наползет полутьма 
 как за веки",-6.751641273498535
"чарующий шар как прожектор над водою 
 фокусник месяц вскоре взойдет 
 все помнят с дивной средою 
 почернел на крыше кот обзор ведет",-6.760389804840088
"в нём лица 
 но пока еще не выпавших снегов 
 всё равно она чудесница 
 сёрвогсватн не отыщет брегов",-6.764651775360107
"в макушку бьёт 
 с горячностью заждавшегося сердца 
 хрустальный звон вольёт 
 слёзы лета на озеро рица",-6.768507480621338
"и оно белее боли 
 и если бы хотя бы 
 я вдохну морской воздушной соли 
 посреди разрывов стрельбы",-6.780858993530273
"скоро сбросят деревья в прохладе 
 она нежна будто гвоздика 
 озера в окладе 
 и девочка игрушку щелкучика",-6.891357898712158
"трясогузки в конце декабря 
 набросаю мечту я эскизом 
 вам бандиты ссут в глаза собой искря 
 легким трепетным капризом",-6.90733003616333
"и всё пора домой 
 у нашей бабушки 
 с её вечной грязью тьмой 
 до чего ж его малышки",-6.910126209259033
"снега уж застарелые 
 бежало пятками сверкая 
 повалят как спички обгорелые 
 в мышцах колдовская",-6.911691188812256
"на ветках рубины 
 отчаянный к солнышку вытягивая шеи 
 чернота рябой щербины 
 ступая через длинные траншеи",-6.913253307342529
