poem,gpt_lp
"лора катаева а мне тепло 
 как же приятен был ей ветерок 
 вдруг небо тучами заволокло 
 я вспоминаю прежний свой зарок",-6.061789512634277
"выбивал стаккато по земле моя весна 
 и нам хочется к речке по тропинке неспешно 
 а барханы как морщины пропадут с лица бледна 
 по селам пашням и лугам поспешно",-6.267315864562988
"не слушал папеньку он родился он как слеза 
 а сколько мы вместе нас голос малиновки лечит 
 небо смотрит на меня ей богу точно егоза 
 пел про доктор время который скоро излечит",-6.470156192779541
"тишина и дымка над аткарском 
 мятежный рёв создав под звон цикад 
 они зеленым огонечком 
 кудряшки белых облаков каскад",-6.5646843910217285
"согревает в лучах сияет солнце ветерок 
 но мы уже давно пора плоды нести 
 закружил их и не узок ни широк 
 горы зовут обещают домой побыстрей привести",-6.728599548339844
"солнце по утрам уже вся природа веселится 
 и дождевых где туч наплыв был страшен 
 потом морзы в ноябре пред зимой приземлится 
 и червяков на части небесный свод покрашен",-6.842092990875244
"эх поля вы мои вы воскресли 
 в курятник под кикимор злой пробег 
 ну а не только близких людей если 
 всех удививший снежный набег",-7.099879264831543
"летел орёл в настенной раме снова в инее 
 это конец уже нашей истории 
 а глазах отражение солнца и каждой просьбе искренне 
 темные только две строки взяты у виктории",-7.171131610870361
"сонной негой своей улыбнется 
 их мастерил из глины ловко 
 при тебе плохое не прорвется 
 кто потрудится за него неловко",-7.230782985687256
"но мне так давно уж без хозяйки 
 но гору новые украсят 
 он притаился скраю у тарайки 
 не видели как воду пронзают и красят",-7.3065690994262695
