poem,gpt_lp
"закрой глаза прими что он даёт нам передышки 
 был праздник пасхи 
 у ней от одышки 
 тэбахи тевах тэма тейма тэмани тейман тэрахи",-5.12435245513916
"люблю люблю всех как родных 
 в глазах рябит 
 в стеклоте глазных 
 недовольство в призреньи свербит",-5.511341571807861
"и открой их сердца воспевают немолчно тебе аллилуйя 
 чрез нас снова прощает радушно 
 и христос о алилуйя 
 вам там не скрою в кабацкой душно",-5.553938388824463
"владыке живому во веки не 
 я не забуду этих чудных глаз 
 пребывавший в фергане 
 на пиршестве тёмных пролаз",-5.669061660766602
"который сказал мне на ум приходит мыслей гнет 
 тропинкой глаженной ногами 
 и кто не сеет и жнет 
 с обрывистыми по ущельям берегами",-5.731637001037598
"там где малый водоём 
 у жизни на луне 
 луна и солнце пронзая оконный проём 
 луна в окне",-5.806596755981445
"это для нас 
 умолит сына своего за нас пролита на голгофе 
 и вера внас 
 ты своею смертью на галгофе",-5.840597629547119
"волхвы с мурашками на коже 
 мороз по коже 
 ты закалял меня и доныне твоё милосердие боже 
 в глазах других которые моложе",-5.856879234313965
"разум с болью в сердце стоят стеною 
 і повернути в рідні края 
 там ангелы стоят за нашей спиною 
 до мурашек пробирая",-5.868196487426758
"он был перемолот греховной машиной 
 иона игнатенко схиархимандрит духовник одесского успенского мужского монастыря 
 и нераскаянной вершиной 
 от людей беря",-5.873462677001953
"возвышался на холме 
 ваганьковское кладбище холодное зимой 
 и в полном я дерьме 
 был праведный егорий тьмой",-5.907993793487549
"и заносит в древнейшую из картотек 
 так как знаю 
 и хитростью усядется за стол библиотек 
 люблю каждой клеткой плоти сознаю",-5.958190441131592
"свои не воплощая 
 не постигая до конца 
 всех демонов и чертовщину отсекающая 
 из чистого свинца",-6.040011882781982
"максим светлейший регенерируют произведения 
 живу а выживаю 
 в единстве восхождения и нисхождения 
 подгоняю часы проживаю",-6.049050331115723
"простив мне ворох всех ошибок 
 мне нужно в винограднике трудиться 
 в своих решениях он гибок 
 каждый должен потрудиться",-6.0895843505859375
"блаженны милостивые будут помилованы 
 который много лет 
 полдеревни как полстраны 
 войне до блеска эполет",-6.10061502456665
"серпом по сердцу своему 
 может я верую в тебя из сердца 
 в души бесовскую тьму 
 мы образ так похожий на иногородца",-6.119011402130127
"к иисусу прийти святый бог 
 и благодатное я чувствую тебя 
 как жалок как убог 
 последние желанья наши истребя",-6.13358736038208
"что похоронен был в духе показал 
 как много люду получило исцеления 
 залечил и узы развязал 
 это он в выдохе и после подавления",-6.136067867279053
"тому кто не родится 
 не медлит он любит не тебя 
 из тебя глядится 
 ликуют пляшут в лужах серых рябя",-6.156609535217285
"и с выдохом последним и хрипящим 
 как хемингуэй сказал 
 багряный цвет слепящим 
 а тот предсказал",-6.18750524520874
"но земля убитых не удержала 
 в завтрашнем ты дне 
 время от времени уезжала 
 на быстром скакуне",-6.238802909851074
"это ж не 
 и все так 
 сидит на вороном коне 
 и променяли молитвы на душу вражиих атак",-6.2479071617126465
"милосердным оком свыше призри 
 словом божьим души 
 снова выплесну чувства свои собери 
 моше мэрари мрари мупими мупим муши муши",-6.3590803146362305
"снежной шалью укроет зима 
 и он на иконе вечный лик 
 по мотивам псалма 
 из бесед калик",-6.3835039138793945
"иисус христос ценней всего 
 ответите за всё 
 год что следует мириться с ближними прежде своего 
 и что бы то ни сё",-6.414816856384277
"бог счасливейшего рая 
 мою душу призревай 
 во грех марая 
 и не наговаривай",-6.437676906585693
"и вот в таком случае вы чего достойные 
 и в этой бренной 
 всевышнему и показывал непристойности пока непристойные 
 кто воплотился от смиренной",-6.458207130432129
"ему молитвы все забрав с собой не 
 одеты стильно и красиво 
 а может корни дальше все в джурджане 
 но не склоненно не плаксиво",-6.481161117553711
"мечтает восхищённая душа 
 твои желания исполню 
 огнем изрежется суша 
 светом я сердце наполню",-6.497422695159912
"грузом прошедших лет пройду стезю 
 христос был заклан кровью своей победил 
 кого обидел я бога поблагодарю 
 табари что в слёзы побудил",-6.502485275268555
"ради нашего спасенья 
 его обычно жизнью все зовут 
 от горьких слов обличенья 
 в который призовут",-6.5808796882629395
"спала без брачных уз 
 за милости его и среди множества голосов 
 а галава унiз 
 и от усов",-6.581462383270264
"висит христос распятый оскорбленный 
 туда где ждет мучительный финал 
 что за сгорбленный 
 где сидя вдруг узнал",-6.583700180053711
"а счастье женщина не хочет 
 отдайте богу все возможно 
 уже и глумливо хохочет 
 дочуркам принцессам всё можно",-6.614365100860596
"вникая в божий храм 
 те что в рассветных часах искупался 
 стал как с больницу к докторам 
 по ночам вступался",-6.682750225067139
"сердце темное омоем 
 вот чудное же было 
 на исповеди смоем 
 и будто ангела крыло",-6.6827826499938965
"мы друг о друге будем молиться 
 фото со страниц интернета 
 но не мог хвалиться 
 святая великая княгиня вдова елисавета",-6.692983627319336
"назарет как солнце во мраке 
 отцам священникам монахам 
 прося защиты в браке 
 не предаётся страхам",-6.709436893463135
"у самих умілих бійців 
 помните был в чести 
 став направлятися в табір германців 
 чтоб не смутили духи зла чтоб извести",-6.76556396484375
"ближним счёт где забываю 
 и в зиму 
 умом громам повелеваю 
 снова мы в жизни пилигриму",-6.793078422546387
"закрываю сердце на миг 
 поют во славу божию увидел 
 чудес ты сотворил яви им вмиг 
 много циклов уже за сорок видел",-6.819962978363037
"ты с верой обручённая страна 
 кто понесет воскликнул он 
 летит дрожащая струна 
 блажени не видевшiи и веровавше ин",-6.8441386222839355
"по слову твоему 
 но знаю я грешна как мы ране 
 важно для творца чему 
 о том что он отдал иисуса охране",-6.883363246917725
"все по крышам водой конопатит 
 и в то время валентин 
 гордыня страшный смертный грех тяготит 
 нам со всех вчерашним живущих паутин",-6.934574604034424
"на самом деле 
 где заветный тот брег 
 нет принуждения как и тогда в отделе 
 суд другой им приберег",-6.945291519165039
"перекреститься и заняться делом 
 тот кто захочет остаться останется 
 разум является уделом 
 как будто огня не достанется",-6.981278896331787
"все вершится с его лица 
 с богом живите уверуйте в бога глас 
 наш покров молебница 
 шептал по ветру гладя влас",-7.002608776092529
"на всех войною 
 ту что слово бога 
 и каждый странник со своей женою 
 она фактически убога",-7.008812427520752
"когда постигала его беда 
 испуганно в бессилье своем понимаю 
 конечно все то ерунда 
 я это принимаю",-7.021440505981445
"в нашем деле 
 на праздник и птичек пение 
 как не в удалённом обособленном приделе 
 наш страшен гнев и нетерпение",-7.0545501708984375
"пообещал так исполняй 
 в начало стал всех купцов богаче 
 он у деды с маманяй 
 хоч уже наче",-7.113104343414307
"святой и чистый не всегда побеждает 
 своё тело бренное мое страдает 
 и что предрекает 
 пряно но преобладает",-7.121938705444336
"и от врагов коварных 
 и твердый веры исповедниче от младенства пост державший 
 в одеждах чересчур порой шикарных 
 спасен был лот в сигор бежавший",-7.122710227966309
"в один из первых стихов 
 лариса семенова сидоренко 
 фалеков или фалехов 
 copyright вячеслав тимошенко",-7.1465229988098145
"сын не печалился охотой занимался 
 меня нарочно не ищите 
 о том что пророк наш поднимался 
 чтобы исчез я в твоей защите",-7.172140598297119
"мненье кто имел своё 
 будто меня и в душе 
 в котором моё 
 сохраняет городок на зуше",-7.2109270095825195
"той самой девой чистой 
 что даже среди улиц шумных 
 со стаями нечистой 
 сад отдыха для разумных",-7.215058326721191
"добра богата и нежна 
 все на виду 
 в святых порой заключена 
 век время отведённое индивиду",-7.217747688293457
"вся библия пропитана идеей 
 оставляет чудесный след 
 почему эти части тела что находятся между шеей 
 ветер гонит листья осени вслед",-7.250768661499023
"я целую твои с мольбою в церкви правит 
 о внутреннем мире для любови этом 
 время позже подправит 
 и скажет он овцам",-7.254474639892578
"воистину аллах не дал 
 нас закалял очищал 
 ясно дело голодал 
 и трактор снег у парка расчищал",-7.278626441955566
"блаженны кроткие сердцем 
 но настоящим человеком без зла и порока 
 той хоч умре з набитим гаманцем 
 познанье главного урока",-7.299993515014648
"закружит войско белизны 
 но другом будет иисус распят 
 порой от боли напряжены 
 кости старые скрипят",-7.307470321655273
"из радуг яркий мост 
 он даровал живот нам вечен 
 и изумрудное мерцанье под ногой помост 
 ни тем живём вопрос извечен",-7.3164472579956055
"в глубинах сознанья 
 все простили тебя или 
 бог произвёл опустошенья 
 а з іншої сторони полонили",-7.361170768737793
"энергия тела когда повезло 
 помянником зовётся неспроста 
 ты укажи душе моей немало принесло 
 старушки не спроста",-7.361263275146484
"то ярче то слабее пламя 
 слушала дыхание и без тягот и борений 
 свой крест как победное знамя 
 ангелов лишают оперений",-7.361582279205322
"святые искры радостного дня 
 такая у греха в душу и не страшен 
 низко голову клоня 
 на ордынке украшен",-7.4057297706604
"тот будет душой 
 чтобы книга не забыла 
 в четверг светлой седмицы троицкий храм деревня большой 
 удержи мою молитву позабыла",-7.42572021484375
"разговор и жесты 
 то что добрым был 
 под суета и все это время приготовленья невесты 
 я в храм забыл",-7.428313255310059
"мир сотворенный оживил 
 скажите спасибо за уроки злых 
 взяв тело плащаницею обвил 
 в червях бредут гнилых",-7.452538967132568
"и дырявое ведро написано наследство 
 с иконой чудотворной 
 поверил в бога естесство 
 свободных от страшной тлетворной",-7.477912425994873
"и образ божий 
 на какую ещё высоту 
 на меня дурак похожий 
 с ним я открыта пред ним неправоту",-7.487549781799316
"закат расцвеченный повил 
 и ждёт от нас изыдет сатана 
 густо плющ завил 
 красивую дочку лавана",-7.505373001098633
"вы покорны советам бога 
 легенда ходит по цветам 
 она фактически убога 
 плачет так как заветам",-7.534383773803711
"терпеливый народ все непонял 
 чем мы богаты 
 из человечества искоренял 
 и успокоются дожди и раскаты",-7.535185813903809
"в небе все готово 
 и душу цельной 
 как в китово 
 помни он всегда был в начале недельной",-7.536388874053955
"кимвальным звонам не сойти притом с пути 
 не искуситься в жизни честен 
 в источник руки опусти 
 как изощрён идеи план бесчестен",-7.54095983505249
"когда собою недовольны 
 уничижающим высоту смирения 
 под небом вольны 
 себе напомни божьи заверения",-7.617611408233643
"куда те моленья ушли 
 я буду силу 
 в мир ввели 
 славят бога ярилу",-7.662339210510254
"просвященные от господа бога всегда труда много 
 христом в небесный банк 
 в часы народных судеб коренного 
 я брошенная в танк",-7.683202743530273
"бог исполнит для тебя 
 не поможет душе 
 бесплодное же дерево срубя 
 сохраняет городок на зуше",-7.750913143157959
"пережив полон проклятый 
 тишина ты из тени 
 наместник яхве бездуховный жид порхатый 
 но от нас отжени",-7.763296604156494
"подними свой взгляд ты на свете нет любви 
 свидетельство о публикации 
 эй славянка рви 
 зачем вы провокации",-7.792583465576172
"ты помнил это и верно 
 лицо спасителя сияет 
 у мира равнодушие так скверно 
 и не влияет",-7.799387454986572
"и если согрешила 
 чтоб история ценила 
 платье вечности пошила 
 мне пустота заполонила",-7.892173767089844
"свое исцеление найдут 
 и преследуют и не имеет 
 а слуги рассела ведут 
 пожалуй вольный разум мой от ужаса немеет",-7.944806098937988
"чтож ты меня коснулся 
 чтоб я ниже ссылки приведу 
 беда всех тех кто отвернулся 
 подводит часто под узду",-7.946776390075684
"когда среди битвы 
 она вам не треба 
 в слезах скажу молитвы 
 исчезнет всякая потреба",-8.14918041229248
"над кем бы либо 
 иуда свет возненавидел 
 блаженны кроткие ибо 
 я заметила это давно предвидел",-8.17654800415039
"молитва боли изменила ангелов двух цвет 
 мы литургией хранимы 
 солнца последний отсвет 
 текст мы сильно ценимы",-8.192715644836426
"что в закреплено тканью 
 господства истязания раба 
 пропало рвение к служенью 
 не донести руки до лба",-8.212286949157715
"маленький директор ходит у окна христа невестой 
 вторжение бакира ибн абдуллаха 
 святых сердец от несвятой 
 по поводу кораха",-8.329049110412598
"вот тогда в небе много мест 
 в мир и пишет на заказ 
 а потом сменила брест 
 снова тихий рассказ",-8.360665321350098
"пред нею все грехи уйдут 
 панд не видно битва 
 то девчонки подойдут 
 моя молитва как острая бритва",-8.454559326171875
"деревья прежний облик сада 
 за врагов молиться 
 любимая лавра посада 
 и попросила старца удалиться",-8.456053733825684
"иуды грешные слова 
 пост шнурова набрал почти тыс лайков 
 від шпагоудару чистослова 
 без осужденья и упреков",-8.574565887451172
"закон что как корабли 
 как тут мечтанья 
 чтоб вынести смогли 
 просят снова описанья",-8.650782585144043
"дабы все мы ради 
 чрез все пылает поколения 
 пора заветные тетради 
 к тебе своей мне оскорбления",-8.999261856079102
