poem,gpt_lp
"земля от мерзких нечистот будет омыта 
 не переступайте божьи вы законы вашей страны 
 вселяющий надежду на спасенье болью смыта 
 под солнцем дарованным нам богом даны",-6.063371181488037
"голова и сердечко вся больна 
 блаженны званные на вечерю 
 что сомнениями заражена 
 и по пути своём боготворю",-6.800438404083252
"открываю свои я слезы твоей они 
 на святую маму и её сестры водной 
 пися моники беллуччи не читайте брехни 
 двое их всего там четыре путеводной",-6.880765438079834
"за моего духовного отца 
 ради радости здешнего рая 
 копытами степного жеребца 
 над землей поплывет собирая",-6.890754699707031
"у хвастунов белобрысых кафтан 
 когда на сердце трепет вечности 
 улыбался наш брат снег с улицы братан 
 он может мир в бесчеловечности",-7.004280090332031
"данью всё вокруг в тебе господа лик 
 поникшая фигура у стены 
 и каждая строка как сердолик 
 и по делам награды суждены",-7.124209403991699
"когда невзгоды и напасти скорби многие 
 вы очевидно еще и услышал бы каждый близкий 
 жено это сын твой казнён а уроды двуногие 
 множество данных ко мне из детства низкий",-7.286114692687988
"и с разрешения правообладателей 
 а дал утешителя дорогого 
 того что нищета богатств милей 
 фокс воевал в этом смысл суда благого",-7.503866672515869
"мой бог настолько удивительный 
 но вспыхнула нежданно зри огни 
 а потому свой свет живительный 
 и довела до ада дотяни",-7.657347202301025
"и только бог вдвойне благословит 
 бросали жен в погоне до добычи жадной 
 звернися до бога не лежат и отдельно свит 
 все эти ситуации происходят в беспощадной",-7.672108173370361
